,Raw Score,Denominator,Score
1,5.0,9.0,0.5555555555555556
2,5.0,7.0,0.7142857142857143
3,3.0,4.0,0.75
4,2.0,5.0,0.4
5,5.0,9.0,0.5555555555555556
6,3.0,8.0,0.375
7,2.0,5.0,0.4
8,6.0,9.0,0.6666666666666666
9,2.0,8.0,0.25
10,4.0,6.0,0.6666666666666666
11,2.0,6.0,0.3333333333333333
12,4.0,5.0,0.8
13,1.0,7.0,0.14285714285714285
14,4.0,7.0,0.5714285714285714
15,6.0,9.0,0.6666666666666666
16,4.0,7.0,0.5714285714285714
17,3.0,6.0,0.5
18,4.0,10.0,0.4
19,2.0,5.0,0.4
20,3.0,6.0,0.5
21,4.0,10.0,0.4
22,5.0,7.0,0.7142857142857143
23,4.0,4.0,1.0
24,4.0,5.0,0.8
25,3.0,7.0,0.42857142857142855
26,4.0,8.0,0.5
27,5.0,8.0,0.625
28,6.0,7.0,0.8571428571428571
29,3.0,6.0,0.5
30,2.0,8.0,0.25
31,2.0,6.0,0.3333333333333333
32,4.0,10.0,0.4
33,3.0,9.0,0.3333333333333333
34,4.0,8.0,0.5
35,5.0,9.0,0.5555555555555556
36,3.0,9.0,0.3333333333333333
37,4.0,7.0,0.5714285714285714
38,4.0,5.0,0.8
39,3.0,8.0,0.375
40,3.0,9.0,0.3333333333333333
41,4.0,6.0,0.6666666666666666
42,3.0,8.0,0.375
43,4.0,5.0,0.8
44,4.0,8.0,0.5
