,Raw Score,Denominator,Score
1,3.0,9.0,0.3333333333333333
2,3.0,7.0,0.42857142857142855
3,2.0,4.0,0.5
4,2.0,5.0,0.4
5,0.0,9.0,0.0
6,3.0,8.0,0.375
7,2.0,5.0,0.4
8,2.0,9.0,0.2222222222222222
9,0.0,8.0,0.0
10,1.0,6.0,0.16666666666666666
11,1.0,6.0,0.16666666666666666
12,3.0,5.0,0.6
13,1.0,7.0,0.14285714285714285
14,1.0,7.0,0.14285714285714285
15,1.0,9.0,0.1111111111111111
16,0.0,7.0,0.0
17,4.0,6.0,0.6666666666666666
18,4.0,10.0,0.4
19,1.0,5.0,0.2
20,3.0,6.0,0.5
21,3.0,10.0,0.3
22,3.0,7.0,0.42857142857142855
23,3.0,4.0,0.75
24,0.0,5.0,0.0
25,2.0,7.0,0.2857142857142857
26,4.0,8.0,0.5
27,3.0,8.0,0.375
28,3.0,7.0,0.42857142857142855
29,2.0,6.0,0.3333333333333333
30,2.0,8.0,0.25
31,1.0,6.0,0.16666666666666666
32,3.0,10.0,0.3
33,4.0,9.0,0.4444444444444444
34,4.0,8.0,0.5
35,6.0,9.0,0.6666666666666666
36,1.0,9.0,0.1111111111111111
37,2.0,7.0,0.2857142857142857
38,3.0,5.0,0.6
39,2.0,8.0,0.25
40,3.0,9.0,0.3333333333333333
41,2.0,6.0,0.3333333333333333
42,4.0,8.0,0.5
43,2.0,5.0,0.4
44,4.0,8.0,0.5
